tweet_id,retweet_count,favorite_count,hashtag
892420643555336193,7317,34846,None
892177421306343426,5466,30190,None
891815181378084864,3607,22727,None
891689557279858688,7498,38099,None
891327558926688256,8060,36372,BarkWeek
891087950875897856,2699,18347,BarkWeek
890971913173991426,1746,10678,None
890729181411237888,16413,58680,None
890609185150312448,3754,25271,BarkWeek
890240255349198849,6339,28816,None
890006608113172480,6378,27823,BarkWeek
889880896479866881,4326,25291,None
889665388333682689,8680,43386,None
889638837579907072,3875,24377,None
889531135344209921,1956,13738,BarkWeek
889278841981685760,4620,22764,BarkWeek
888917238123831296,3889,26360,None
888804989199671297,3687,23132,None
888554962724278272,2992,17847,None
888078434458587136,3019,19734,None
887705289381826560,4695,27431,None
887517139158093824,10217,41952,None
887473957103951883,15614,62068,None
887343217045368832,9158,30451,None
887101392804085760,5186,27772,None
886983233522544640,6633,31453,None
886736880519319552,2755,10816,None
886680336477933568,3891,20359,None
886366144734445568,2745,19121,None
886267009285017600,3,106,None
886258384151887873,5492,25313,None
886054160059072513,96,0,BATP
885984800019947520,5834,29487,None
885528943205470208,5553,32552,None
885518971528720385,3242,18545,None
885311592912609280,16041,0,None
885167619883638784,3800,19810,None
884925521741709313,15662,69462,None
884876753390489601,4854,25176,None
884562892145688576,4075,21988,None
884441805382717440,4957,24578,None
884247878851493888,17622,65463,None
884162670584377345,2599,18481,None
883838122936631299,2973,19760,None
883482846933004288,8594,41468,None
883360690899218434,3198,20541,None
883117836046086144,5760,33565,None
882992080364220416,3363,21634,None
882762694511734784,4251,25566,None
882627270321602560,5269,25397,None
882268110199369728,10060,40485,None
882045870035918850,4230,26532,None
881906580714921986,2960,22082,None
881666595344535552,9287,45916,None
881633300179243008,8,113,None
881536004380872706,13926,44798,None
881268444196462592,4630,21097,Canada150
880935762899988482,2434,15505,None
880872448815771648,3324,19295,None
880465832366813184,5416,25753,None
880221127280381952,3613,24409,None
880095782870896641,3781,25040,None
879862464715927552,3034,20300,None
879674319642796034,10,285,None
879492040517615616,2755,21318,None
879415818425184262,38824,95741,None
879376492567855104,2734,15285,None
879130579576475649,5946,0,None
879050749262655488,4108,20437,None
879008229531029506,2336,17249,None
878776093423087618,3581,17608,PrideMonthPuppo
878604707211726852,6163,27254,None
878404777348136964,1112,0,None
878316110768087041,5759,0,None
878281511006478336,1112,7006,None
878057613040115712,5946,38200,None
877736472329191424,16480,71565,None
877611172832227328,71,0,None
877556246731214848,3299,20575,None
877316821321428993,4546,24896,None
877201837425926144,4843,24570,None
876838120628539392,2916,18806,None
876537666061221889,4117,21618,None
876484053909872640,2073,17067,None
876120275196170240,4068,25438,None
875747767867523072,3732,22847,None
875144289856114688,4286,19939,None
875097192612077568,5323,24985,None
875021211251597312,4130,23229,None
874680097055178752,4071,25340,None
874434818259525634,12705,0,None
874296783580663808,3627,23732,None
874057562936811520,3495,20712,None
874012996292530176,8942,31076,PrideMonth
873580283840344065,3453,22084,None
873337748698140672,1387,0,None
873213775632977920,1387,6526,None
872967104147763200,4740,24811,None
872820683541237760,3267,13443,dogsatpollingstations
872620804844003328,3198,18899,PrideMonth
872486979161796608,7997,37173,None
872122724285648897,7130,31214,None
871879754684805121,9622,34202,PrideMonth
871762521631449091,3069,18444,None
871515927908634625,3056,18421,None
871166179821445120,5045,0,None
871102520638267392,4864,19107,None
871032628920680449,3359,20786,None
870804317367881728,5458,30732,None
870726314365509632,3,110,None
870656317836468226,2293,11226,None
870374049280663552,23576,76188,None
870308999962521604,3665,20058,None
870063196459192321,7341,33370,None
869772420881756160,9002,39049,None
869702957897576449,5567,25812,None
869596645499047938,2748,14636,None
869227993411051520,3334,18697,None
868880397819494401,12761,59787,None
868639477480148993,1820,0,None
868622495443632128,4677,24357,None
868552278524837888,1820,9256,None
867900495410671616,3719,22217,None
867774946302451713,6507,31155,None
867421006826221569,2211,14751,None
867072653475098625,106,0,None
867051520902168576,7031,29558,None
866720684873056260,4282,18377,None
866686824827068416,3079,17666,None
866450705531457537,31464,112226,None
866334964761202691,12705,48076,None
866094527597207552,7463,0,None
865718153858494464,5034,23659,None
865359393868664832,4472,24328,None
865006731092295680,6921,25812,None
864873206498414592,7774,29669,None
864279568663928832,2696,13469,None
864197398364647424,7893,27554,None
863907417377173506,3720,19026,None
863553081350529029,3770,14076,None
863471782782697472,2165,0,None
863432100342583297,4719,21949,None
863427515083354112,84,2024,None
863079547188785154,995,8113,None
863062471531167744,2165,7763,None
862831371563274240,4619,17713,None
862722525377298433,3202,15811,None
862457590147678208,4420,18846,None
862096992088072192,20821,68387,None
861383897657036800,9660,33326,None
861288531465048066,3727,15867,None
861005113778896900,3458,15474,None
860981674716409858,1930,0,None
860924035999428608,706,0,None
